fetched_at,as_of,value,change_pct
2026-09-19T05:54:04Z,2026-09-18,7650.5,-0.0846
2026-09-21T22:36:25Z,2026-09-21,7764.7,1.8992
2026-09-22T22:35:15Z,2026-09-22,7764.64,2.3585
2026-09-23T22:35:03Z,2026-09-23,7706.03,2.0422
2026-09-24T22:35:26Z,2026-09-24,7704.13,0.869
