fetched_at,as_of,value,change_pct
2026-09-19T05:51:23Z,"Sat, 19 Sep 2026",1386.888007,
2026-09-19T05:54:04Z,2026-09-19,1386.888007,0.0
2026-09-20T22:34:40Z,2026-09-20,1386.744186,-0.0104
2026-09-21T22:36:25Z,2026-09-21,1386.016611,-0.0525
2026-09-22T22:35:15Z,2026-09-22,1375.642214,-0.7485
2026-09-23T22:35:03Z,2026-09-23,1353.703547,-1.5948
2026-09-24T22:35:26Z,2026-09-24,1364.768247,0.8174
2026-09-25T22:36:12Z,2026-09-25,1368.604976,0.2811
